"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"1847";"RN EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"2399";"DML - 27 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3127";"ROS - 331 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2990";"TMO - 137 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2501";"DML - 621 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3135";"DML - 51 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2521";"ROS - 303 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1626";"SPI EQUIPE D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"2448";"DML - 19 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3113";"DML - 37 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1927";"ES EQUIPE CRDK";"PRESIDENCIA";"LOGISTICA";""
"2666";"ROS - 310 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1949";"EQUIPES RJ 1";"VP COMERCIAL";"VENDAS";""
"2746";"ROS - 403 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2491";"DML - 23 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1713";"DF EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"2246";"EQUIPE RELACOES INVESTIDORES";"VP ESTRATEGIA E FINANCAS";"RELACOES INVESTIDORES";""
"2621";"ROS - 323 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2476";"DML - 38 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3058";"TMO - 132 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2206";"EQUIPES SPC 6";"VP COMERCIAL";"VENDAS";""
"1557";"RJ ENCARREGADO ARMAZENAGEM - T3";"PRESIDENCIA";"LOGISTICA";""
"1390";"COORD COMUNICACAO INSTITUCIONAL";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2707";"ROS - 410 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1548";"RJ EQUIPE PICKING MEZANINO - T1";"PRESIDENCIA";"LOGISTICA";""
"1881";"BA EQUIPE PRODUCAO/ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"1448";"MONITOR QUALIDADE CD";"VP COMERCIAL";"MARKETING";""
"1968";"EQUIPES BA 2";"VP COMERCIAL";"VENDAS";""
"3286";"GER COMERCIAL";"VP COMERCIAL";"VENDAS";""
"24";"COORD SISTEMAS GRUPO 2";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2358";"DML - 60 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3186";"EQUIPE PBM VAREJO";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2727";"ROS - 380 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3417";"EQUIPE SUP FACILITIES ADMINISTRATIVA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"3544";"COORD REGULATORIO - F. POPULAR.";"VP VAREJO";"OPERACOES VAREJO";""
"1874";"PB ENCARREGADO ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
"2775";"ROS - 325 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"201";"COORD EXPANSAO";"VP VAREJO";"OPERACOES VAREJO";""
"1410";"GER H1 , H2, H3";"PRESIDENCIA";"INOVACAO";""
"3273";"SPC GER OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"3220";"SUP ADMINISTRATIVA";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"1993";"NEGOCIACAO DE VENDAS";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"2327";"DML - 4 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1506";"EQUIPE LOGISTICA PLANEJAMENTO";"PRESIDENCIA";"LOGISTICA";""
"3321";"DML - 625 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2761";"ROS - 338 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3599";"GER COMERCIAL MEDICAMENTOS ESPECIAIS";"VP VAREJO";"COMERCIAL VAREJO";""
"3391";"ROS - 378 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2449";"DML - 27 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2343";"DML - 609 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1405";"EQUIPE GS PROCESSOS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2834";"TMO - 115 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1570";"GER REGIONAL SP";"PRESIDENCIA";"LOGISTICA";""
"1901";"BA ENCARREGADO D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"1717";"DF EQUIPE CONFERENCIA/LOOP 3 - T1";"PRESIDENCIA";"LOGISTICA";""
"3011";"TMO - 167 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"341";"SERVICOS A CLIENTES SEDE";"VP COMERCIAL";"MARKETING";""
"3418";"EQUIPE CONTROLES INTERNOS";"VP ESTRATEGIA E FINANCAS";"AUDITORIA E COMPLIANCE";""
"1585";"SPC EQUIPE D&E TRANSPORTE";"PRESIDENCIA";"LOGISTICA";""
"21";"COORD PRODUCAO INFRAESTRUTURA TI";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2944";"TMO - 137 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3289";"MG SUP CGG";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2336";"DML - 64 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2868";"TMO - 192 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1593";"SPC EQUIPE CRDK/FOB";"PRESIDENCIA";"LOGISTICA";""
"1694";"GO EQUIPE DEVOLUCAO";"PRESIDENCIA";"LOGISTICA";""
"2193";"EQUIPE GPP";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2038";"COORD LOGISTICA PCP";"PRESIDENCIA";"LOGISTICA";""
"2878";"TMO - 135 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2994";"TMO - 157 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3340";"ROS - 470 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2442";"DML - 623 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2671";"ROS - 328 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2829";"TMO - 193 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2475";"DML - 36 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3203";"GER TRADE VAREJO";"VP VAREJO";"VP VAREJO";""
"3293";"SPC GER ADMINISTRATIVO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2691";"ROS - 312 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"108";"GER PLANEJAMENTO FINANCEIRO VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"1821";"PE SUP M&A";"PRESIDENCIA";"LOGISTICA";""
"2260";"DML - 87 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3096";"TMO - 161 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2979";"TMO - 105 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2655";"ROS - 356 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2875";"TMO - 120 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"422";"SPC ENCARREGADO ABASTECIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"3271";"SPI GPP E GR";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2610";"ROS - 361 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2995";"TMO - 171 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3019";"TMO - 118 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3790";"GER PROJETOS EXPANSAO";"VP VAREJO";"OPERACOES VAREJO";""
"1628";"SPI EQUIPE D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"1413";"TRABALHISTA - RELACOES SINDICAIS";"VP CORPORATIVA";"JURIDICO";""
"2588";"ROS - 374 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3316";"ES EQUIPE CRDK 1 - T3";"PRESIDENCIA";"LOGISTICA";""
"3137";"DML - 26 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3332";"ROS - 310 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3210";"GER SELL OUT 3";"VP VAREJO";"COMERCIAL VAREJO";""
"3241";"GER NACIONAL REDES";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"2332";"DML - 34 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3452";"COORD MARKETPLACE VAREJO";"VP VAREJO";"OPERACOES VAREJO";""
"2903";"TMO - 146 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3035";"TMO - 220 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1906";"RJ SUP CRDK";"PRESIDENCIA";"LOGISTICA";""
"2290";"DML - 7 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2726";"ROS - 369 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2226";"MG ENCARREGADO GPP E GR";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3474";"GER SUPPLY CHAIN VAREJO 2";"PRESIDENCIA";"SUPPLY CHAIN VAREJO";""
"2487";"DML - 14 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2542";"ROS - 444 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1621";"SPI EQUIPE GR";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2685";"ROS - 442 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"458";"SPC ENCARREGADO PICKING/LINHA 3 - T3";"PRESIDENCIA";"LOGISTICA";""
"3774";"SPC ENC D&E SPECIALTY";"VP SPECIALTY";"VP SPECIALTY";""
"3057";"TMO - 130 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3280";"GER PLANEJAMENTO TRANSPORTES";"PRESIDENCIA";"LOGISTICA";""
"2181";"SPI COORD OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"470";"SPC ENCARREGADO RECONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"2167";"RJ EQUIPE CRDK - T1";"PRESIDENCIA";"LOGISTICA";""
"1944";"EQUIPES REDES SUL";"VP COMERCIAL";"VENDAS";""
"1521";"RJ SUP - TURNO 3";"PRESIDENCIA";"LOGISTICA";""
"1891";"BA EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"3214";"GER FINANCEIRO VAREJO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"1994";"PLANEJAMENTO VENDAS 1";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"1607";"SPI ENCARREGADO PRODUCAO - T3";"PRESIDENCIA";"LOGISTICA";""
"3435";"EQUIPE  COMERCIAL NAO MEDICAMENTOS";"VP VAREJO";"COMERCIAL VAREJO";""
"183";"GER OPERACAO DML/FML";"VP VAREJO";"OPERACOES VAREJO";""
"3133";"DML - 54 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3328";"DML - 72 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"214";"EQUIPE CANAIS DIGITAIS";"VP VAREJO";"COMERCIAL VAREJO";""
"3045";"TMO - 163 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3400";"ROS - 466 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2649";"ROS - 346 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2872";"TMO - 103 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1660";"SUP ES";"VP COMERCIAL";"VENDAS";""
"3052";"TMO - 189 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"105";"SUP PREVENCAO DE PERDAS - GESTAO RISCO";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"2700";"ROS - 350 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1645";"SUP PR 3";"VP COMERCIAL";"VENDAS";""
"2682";"ROS - 393 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3257";"MG ENCARREGADO PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"1824";"PE EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"3084";"TMO - 183 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2419";"DML - 9 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1591";"SPC EQUIPE D&E";"PRESIDENCIA";"LOGISTICA";""
"2293";"DML - 32 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2911";"TMO - 102 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1571";"SPC COORD OPERACOES";"PRESIDENCIA";"LOGISTICA";""
"3613";"DML - 629 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1529";"RJ ENCARREGADO CONFERENCIA - T1";"PRESIDENCIA";"LOGISTICA";""
"3516";"DF EQUIPE LINHA 3 - T1";"PRESIDENCIA";"LOGISTICA";""
"2737";"ROS - 401 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3299";"EQUIPE QUALIDADE TRANSPORTES";"PRESIDENCIA";"LOGISTICA";""
"2791";"ROS - 386 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3496";"ROS - 473 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1414";"DIRETORIA FISCAL TRIBUTARIA";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"2565";"ROS - 438 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2549";"ROS - 314 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1430";"EQUIPE SUP PRODUCAO TI";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2918";"TMO - 135 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1412";"EQUIPE PROJETOS 1";"PRESIDENCIA";"PRESIDENCIA";""
"3545";"DML - 636 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1923";"ES EQUIPE D&E TRANSPORTE";"PRESIDENCIA";"LOGISTICA";""
"339";"GER SERVICOS A CLIENTES";"VP COMERCIAL";"MARKETING";""
"1630";"GER DIVISIONAL SUL E SP";"VP COMERCIAL";"VENDAS";""
"1802";"MG EQUIPE SEPARACAO - T3";"PRESIDENCIA";"LOGISTICA";""
"193";"GER REGIONAL ROS 2";"VP VAREJO";"OPERACOES LOJAS";""
"3750";"EQUIPE TORRE DE CONTROLE SPECIALTY";"VP SPECIALTY";"DIRETORIA OPERAÇÕES SPECIALTY";""
"3526";"RJ BOMBEIRO CIVIL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2481";"DML - 605 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1500";"GER PLANEJAMENTO CRDK/FOB";"PRESIDENCIA";"LOGISTICA";""
"3059";"TMO - 134 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1908";"RJ EQUIPE CRDK - T1";"PRESIDENCIA";"LOGISTICA";""
"1811";"MG EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"1945";"EQUIPES GO 1";"VP COMERCIAL";"VENDAS";""
"3542";"MT EQUIPE M&A PRODUCAO - T2";"PRESIDENCIA";"LOGISTICA";""
"3249";"DIRETORIA TI VAREJO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2551";"ROS - 316 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2723";"ROS - 346 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2678";"ROS - 369 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3633";"ROS - 396 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3508";"DML - 632 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1708";"GO ENCARREGADO D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"2697";"ROS - 335 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3724";"GER - MANUTENCAO VAREJO";"PRESIDENCIA";"ADMINISTRATIVA FINANCEIRA";""
"2618";"ROS - 302 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2644";"ROS - 323 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2919";"TMO - 136 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2132";"EQUIPE FACILITIES DIST SEDE";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2553";"ROS - 319 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2701";"ROS - 360 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"1851";"RN EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3699";"ES EQUIPE CGG";"PRESIDENCIA ";"CULTURA E GESTAO DE GENTE";""
"3083";"TMO - 181 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2964";"TMO - 125 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1651";"SUP DF";"VP COMERCIAL";"VENDAS";""
"3645";"TMO - 227 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1496";"GER CONTAS RJ/MG/ES";"VP COMERCIAL";"VENDAS";""
"3796";"ROS - 385 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2865";"TMO - 175 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1459";"EQUIPE CONTABILIDADE E CUSTOS (REPORT COORD)";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2064";"DIRETORIA PLANEJAMENTO DE VENDAS";"VP COMERCIAL";"DISTRIBUICAO";""
"2446";"DML - 12 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"221";"DIRETORIA COMERCIAL";"VP COMERCIAL";"DISTRIBUICAO";""
"3208";"GER SELL OUT 1";"VP VAREJO";"COMERCIAL VAREJO";""
"2869";"TMO - 193 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1383";"EQUIPE REMUNERACAO - BENEFICIOS";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2949";"TMO - 171 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1863";"PB ENCARREGADO PRODUCAO/ABASTECIMENTO/EXPEDICAO - T2";"PRESIDENCIA";"LOGISTICA";""
"2617";"ROS - 463 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2062";"GER TECH LEAD";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2719";"ROS - 328 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2055";"ESPECIALISTA CULTURA INOVACAO";"PRESIDENCIA";"INOVACAO";""
"3223";"EQUIPE REGIONAL DROGASMIL VAREJO";"VP VAREJO";"OPERACOES VAREJO";""
"1854";"RN EQUIPE D&E";"PRESIDENCIA";"LOGISTICA";""
"1494";"SUP CONTAS GO";"VP COMERCIAL";"VENDAS";""
"3087";"TMO - 126 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2395";"DML - 11 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2331";"DML - 32 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1904";"EQUIPE BP DISTRIBUICAO OPERACOES";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2208";"EQUIPES MG - BH";"VP COMERCIAL";"VENDAS";""
"1538";"RJ EQUIPE PICKING MEZANINO - T2";"PRESIDENCIA";"LOGISTICA";""
"2312";"DML - 32 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"3341";"ROS - 376 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1492";"RJ EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3010";"TMO - 166 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"148";"DIRETORIA COMERCIAL VAREJO";"VP VAREJO";"COMERCIAL VAREJO";""
"3312";"ES ENCARREGADO CRDK NOT - 01";"PRESIDENCIA";"LOGISTICA";""
"2937";"TMO - 114 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"54";"COORD PROJETOS FISCAIS";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"2650";"ROS - 349 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2943";"TMO - 128 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3467";"MT EQUIPE M&A MEZANINO - T1";"PRESIDENCIA";"LOGISTICA";""
"2963";"TMO - 121 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1427";"EQUIPE SUPORTE CDs";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2652";"ROS - 353 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"207";"DIRETORIA SUPPLY CHAIN VAREJO";"PRESIDENCIA";"SUPPLY CHAIN VAREJO";""
"2434";"DML - 71 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2371";"DML - 46 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2550";"ROS - 315 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2441";"DML - 620 - SUBGERENTE";"VP VAREJO";"OPERACOES VAREJO";""
"2118";"EQUIPE BA/SE";"VP COMERCIAL";"VENDAS";""
"1438";"EQUIPE RJ SUP CGG";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1756";"RS ENCARREGADO PICKING - T3";"PRESIDENCIA";"LOGISTICA";""
"3410";"DML - 631 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3110";"DML - 54 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3574";"COORD ADM COMERCIAL";"VP SPECIALTY";"VP SPECIALTY";""
"1520";"RJ SUP - TURNO 2";"PRESIDENCIA";"LOGISTICA";""
"1871";"PB EQUIPE GR";"PRESIDENCIA";"LOGISTICA";""
"2319";"DML - 79 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1609";"SPI EQUIPE RECEBIMENTO/ARMAZENAGEM - T3";"PRESIDENCIA";"LOGISTICA";""
"2054";"EQUIPE SISTEMA DISTRIBUICAO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"1996";"COORD PLANEJAMENTO DE VENDAS";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"1502";"GER PLANEJAMENTO INTRALOGISTICA";"PRESIDENCIA";"LOGISTICA";""
"246";"CELULA SUPORTE INFORMACAO";"VP COMERCIAL";"COMERCIAL";""
"3551";"ROS - 383 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3430";"GER COMERCIAL RX";"VP COMERCIAL";"COMERCIAL";""
"1440";"BP PRESIDENCIA E FINANCAS";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2710";"ROS - 445 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2240";"EQUIPE GPP INVENTARIO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2497";"DML - 69 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3655";"COORD PROCESSOS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"169";"COMUNICACAO INSTITUCIONAL";"VP VAREJO";"MARKETING VAREJO";""
"2396";"DML - 12 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3752";"TMO - 234 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1838";"AL EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"2254";"DML - 87 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"3021";"TMO - 133 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3495";"ROS - 468 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3179";"ESPECIALISTA FINANCEIRO DIST";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1697";"GO EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"3121";"DML - 18 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3532";"ROS - 471 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3132";"ROS - 378 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3718";"EQUIPE IA";"PRESIDENCIA";"PRESIDENCIA";""
"2821";"TMO - 164 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2704";"ROS - 386 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2836";"TMO - 123 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1778";"PR ENCARREGADO RECEBIMENTO/ARMAZENAGEM - T3";"PRESIDENCIA";"LOGISTICA";""
"2817";"TMO - 138 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1623";"SPI ENCARREGADO D&E - T2";"PRESIDENCIA";"LOGISTICA";""
"2613";"ROS - 373 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
