"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"1721";"DF EQUIPE ESTOQUE/ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
"2275";"DML - 84 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1924";"ES ENCARREGADO D&E - T1";"PRESIDENCIA";"LOGISTICA";""
"2677";"ROS - 360 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1777";"PR EQUIPE ABASTECIMENTO/PRODUCAO - T1";"PRESIDENCIA";"LOGISTICA";""
"1484";"RJ ENCARREGADO MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2566";"ROS - 441 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2020";"RJ EQUIPE CUSTOS";"PRESIDENCIA";"LOGISTICA";""
"1627";"SPI ENCARREGADO D&E - T3";"PRESIDENCIA";"LOGISTICA";""
"1629";"SUPERINTENDENCIA IND E ASSOCIATIVISMO";"VP COMERCIAL";"VENDAS";""
"2703";"ROS - 380 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2158";"RJ EQUIPE ARMAZENAGEM - T3";"PRESIDENCIA";"LOGISTICA";""
"336";"TRADE MARKETING - RELACIONAMENTO";"VP COMERCIAL";"MARKETING";""
"3040";"TMO - 139 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2065";"GER RTM - REDES E CONTAS";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
"2235";"MG EQUIPE EXPEDICAO - T2";"PRESIDENCIA";"LOGISTICA";""
"2634";"ROS - 364 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2934";"TMO - 106 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2820";"TMO - 162 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"48";"EQUIPE SISTEMAS DISTRIBUICAO 1";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2552";"ROS - 318 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3109";"DF ENCARREGADO ESTOQUE/ ARMAZENAGEM T3";"PRESIDENCIA";"LOGISTICA";""
"2451";"DML - 43 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2891";"TMO - 102 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3530";"MG BOMBEIRO CIVIL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3652";"TMO - 223 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2901";"TMO - 143 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3459";"MT ENCARREGADO M&A RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2958";"TMO - 107 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1810";"MG EQUIPE DEVOLUCAO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"1547";"RJ ENCARREGADO PICKING MEZANINO - T1";"PRESIDENCIA";"LOGISTICA";""
"2430";"DML - 58 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2389";"DML - 57 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3564";"DML - 635 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3359";"ROS - 331 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"103";"COORD FISCAL VAREJO";"VP ESTRATEGIA E FINANCAS";"TRIBUTARIA E FISCAL";""
"1814";"MG EQUIPE MANUTENCAO PREDIAL";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2211";"EQUIPES CONTAS SUL";"VP COMERCIAL";"VENDAS";""
"2729";"ROS - 387 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3580";"COORD GESTAO COMERCIAL 1";"VP SPECIALTY";"VP SPECIALTY";""
"1343";"TRADE MARKETING";"VP COMERCIAL";"MARKETING";""
"2674";"ROS - 339 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1577";"SPC EQUIPE RECEBIMENTO - T1";"PRESIDENCIA";"LOGISTICA";""
"2007";"SUPPLY CHAIN GRANDES CONTAS";"PRESIDENCIA";"SUPPLY CHAIN";""
"31";"GER GESTAO SERVICOS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"3502";"SPC EQUIPE M&A QUALIDADE - T3";"PRESIDENCIA";"LOGISTICA";""
"1552";"RJ EQUIPE ABASTECIMENTO - T3";"PRESIDENCIA";"LOGISTICA";""
"3787";"TMO - 236 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"204";"COORD PROJETOS VAREJO 1";"VP VAREJO";"OPERACOES VAREJO";""
"2583";"ROS - 349 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3313";"ES ENCARREGADO CRDK NOT - 02";"PRESIDENCIA";"LOGISTICA";""
"3506";"EQUIPE CALL CENTER RJ 4";"VP VAREJO";"OPERACOES VAREJO";""
"1771";"PR EQUIPE FATURAMENTO";"PRESIDENCIA";"LOGISTICA";""
"189";"GER REGIONAL DML/FML 2";"VP VAREJO";"OPERACOES LOJAS";""
"187";"GER OPERACAO NOVAS LOJAS";"VP VAREJO";"OPERACOES VAREJO";""
